# IPBES South_America
# Argentina
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-65.28360653 -43.62994638
-65.30471636 -43.78745615
-65.23857052 -44.04873219
-65.30841122 -44.15818288
-65.26551978 -44.27972584
-65.28985938 -44.36075449
-65.36127621 -44.47733652
-65.64758948 -44.66145965
-65.6983099 -44.79618011
-65.59909115 -44.87555511
-65.60570574 -44.94500823
-65.63877865 -45.00784678
-65.7577378 -45.00712331
-66.19016619 -44.96474863
-66.34775347 -45.03363331
-66.4936102 -45.11755584
-66.53345272 -45.15776011
-66.58507748 -45.18292653
-66.88247535 -45.22767832
-66.94138648 -45.25734059
-67.25759457 -45.57721771
-67.39301266 -45.77555185
-67.55664608 -45.9701653
-67.59956336 -46.05253753
-67.6089168 -46.16674245
-67.58610165 -46.26957855
-67.56336402 -46.34543955
-67.50646827 -46.44279795
-67.38663062 -46.55379892
-66.77684872 -47.00586435
-66.65039649 -47.04534515
-65.99854997 -47.09371429
-65.8536751 -47.15675954
-65.76910661 -47.25670176
-65.73810076 -47.3449651
-65.77541114 -47.56831064
-65.81429765 -47.63817718
-65.8863346 -47.70153248
-66.04064043 -47.7832846
-66.22525448 -47.82674448
-66.17233782 -47.85764699
-66.09738115 -47.85320281
-65.93421282 -47.82674448
-65.86367449 -47.85320281
-65.81008603 -47.94110442
-65.91217282 -47.97670949
-65.94341122 -48.01934254
-66.01717933 -48.08424814
-66.39335792 -48.3424236
-66.59626543 -48.41952483
-66.78279151 -48.52298105
-67.03308631 -48.62778086
-67.13098731 -48.68793222
-67.26333065 -48.81422942
-67.46631568 -48.95179209
-67.68488115 -49.24670949
-67.69369198 -49.30401865
-67.66196265 -49.34220753
-67.78350562 -49.85892018
-67.82598365 -49.91958831
-67.91393694 -49.98449391
-68.14565406 -50.09136077
-68.25719764 -50.10458994
-68.4046305 -50.04268157
-68.48790707 -49.97798268
-68.56929745 -49.8669817
-68.66758603 -49.75251841
-68.67267615 -49.79349782
-68.63846636 -49.86295094
-68.66164324 -49.93571136
-68.9129974 -49.96878428
-68.97960832 -50.00299407
-68.75267127 -49.98769785
-68.59792619 -50.0095053
-68.53258135 -50.03617034
-68.47372189 -50.09141245
-68.42186459 -50.15792002
-68.46540198 -50.19476531
-68.58937375 -50.22515106
-68.74985491 -50.28111663
-68.93945574 -50.38229909
-69.0447723 -50.49908782
-69.09017005 -50.5831137
-69.1413814 -50.75250905
-69.15499814 -50.8644402
-69.23514828 -50.95063649
-69.35860328 -51.02809946
-69.35175615 -51.04582448
-69.26796282 -51.00613698
-69.20104184 -50.99363128
-69.14350013 -51.09698414
-69.0657271 -51.30348317
-69.02957943 -51.44652353
-69.03528968 -51.48900156
-69.05828569 -51.54718922
-69.21806922 -51.56119354
-69.36056698 -51.55948821
-69.4654443 -51.58449961
-69.40909115 -51.61028615
-69.3130505 -51.60103607
-69.18011288 -51.66232431
-69.03252499 -51.63622772
-68.96531979 -51.67715545
-68.91682146 -51.71462086
-68.69084042 -52.01310394
-68.49348813 -52.1975888
-68.39372677 -52.30703948
-68.44336199 -52.35664886
-68.46098365 -52.29045135
-68.58978716 -52.27334645
-68.71518002 -52.25551808
-68.92454709 -52.20813079
-69.20620948 -52.13614552
-69.48844031 -52.13614552
-69.71261268 -52.07542571
-69.96027198 -52.00824635
-70.48287574 -52.00225189
-70.94318356 -51.99811777
-71.414731 -51.99398366
-71.71657305 -51.99129648
-71.91867957 -51.98953948
-71.97110531 -51.96416636
-71.95345781 -51.88034718
-72.02844031 -51.81864552
-72.13696082 -51.74402475
-72.26899411 -51.69110809
-72.33451982 -51.62036305
-72.40766781 -51.54083302
-72.36640418 -51.47029469
-72.3032039 -51.29893564
-72.30183448 -51.22333302
-72.35916948 -51.17041636
-72.37679114 -51.09543385
-72.35916948 -51.06013885
-72.3073897 -51.03342213
-72.27633216 -50.91022552
-72.30062008 -50.78950937
-72.34025591 -50.68186736
-72.39255246 -50.63427337
-72.46014523 -50.61174245
-72.50983212 -50.60750498
-72.62039385 -50.64770924
-72.8035868 -50.63768401
-72.86590858 -50.65313527
-72.95554135 -50.69644012
-73.08235531 -50.76031219
-73.15291948 -50.73824635
-73.17452023 -50.66998178
-73.22164914 -50.61070892
-73.25162147 -50.55851572
-73.27415239 -50.47252614
-73.31172116 -50.36193857
-73.38662615 -50.23114552
