# IPBES Oceania
# Australia
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
145.83784794 -16.91038869
145.91215864 -16.91245574
145.90192671 -17.07022389
146.04982466 -17.38100595
146.12589237 -17.635254
146.07400923 -17.97735198
146.02284956 -18.17573781
146.03225467 -18.27283782
146.22304406 -18.50982594
146.33321822 -18.55375091
146.31172082 -18.66671559
146.29683801 -18.84117523
146.38334435 -18.97703257
146.48111616 -19.07873178
146.58725956 -19.13950327
146.69195601 -19.18740732
146.82900191 -19.23577646
147.00263472 -19.25603362
147.09275842 -19.33266977
147.13875044 -19.39318288
147.27817346 -19.41416351
147.34152876 -19.40289804
147.41852665 -19.37814503
147.47092655 -19.41938283
147.50978723 -19.47410817
147.58606164 -19.62272959
147.74233117 -19.77016245
147.85322879 -19.79470875
147.91565392 -19.86927785
148.00443404 -19.88958668
148.08101851 -19.89868174
148.18964237 -19.95588755
148.36689253 -20.08750742
148.52677941 -20.10884979
148.60047001 -20.14517832
148.75932336 -20.28951059
148.82102502 -20.36640512
148.88479374 -20.48081675
148.80510868 -20.49172047
148.72997114 -20.46774261
148.68366906 -20.58019052
148.78950239 -20.73563323
148.91238895 -20.84523895
149.06049361 -20.96109751
149.20487756 -21.12506683
149.24136112 -21.25017547
149.28032515 -21.29952646
149.32931441 -21.47605316
149.45406131 -21.57868255
149.46005578 -21.76544118
149.5240312 -22.02361663
149.59565474 -22.25760752
149.64526411 -22.32835255
149.70386519 -22.44054209
149.77156131 -22.42622772
149.82241092 -22.38979583
149.92028609 -22.50141692
149.97444299 -22.55066456
150.0055522 -22.52162241
149.94188683 -22.30814707
149.98126428 -22.18427866
150.02064172 -22.168414
150.07614221 -22.16443491
150.14301151 -22.26546233
150.23489221 -22.37294931
150.40511437 -22.46891245
150.54133345 -22.55908782
150.57957401 -22.55572886
150.56438114 -22.48617238
150.56851525 -22.38400807
150.62287886 -22.36726491
150.67248823 -22.41816619
150.76385217 -22.57614105
150.78286909 -22.90289113
150.78297245 -23.17651784
150.84312381 -23.45799936
150.9310771 -23.53189666
150.988748 -23.6017632
151.08765669 -23.69607269
151.15380253 -23.78407765
151.23627811 -23.82500539
151.50075809 -24.0124358
151.57537886 -24.03362314
151.69092736 -24.03837737
151.83169396 -24.12292002
151.90269738 -24.20095143
152.05534956 -24.49447357
152.12986698 -24.59751637
152.28200239 -24.69931894
152.35310917 -24.73249521
152.45635868 -24.80241343
152.4931523 -24.90400929
152.50204064 -24.96400563
152.56322554 -25.07206105
152.65427941 -25.2019756
152.7891549 -25.2741159
152.9134884 -25.43214243
152.92051639 -25.68861256
152.98500858 -25.81625335
153.02821008 -25.8703069
153.12546512 -25.92265512
153.16494592 -25.9641513
153.08412398 -26.30376881
153.16205204 -26.98269378
153.11678348 -27.19441212
153.19791548 -27.4047352
153.38570764 -27.76853729
153.42839237 -27.89767669
153.4548507 -28.04831349
153.5756702 -28.24049814
153.56915897 -28.53340016
153.61690799 -28.67302988
153.604609 -28.85446583
153.46218876 -29.05021616
153.34808719 -29.29045989
153.34695031 -29.49654551
153.27232954 -29.89249033
153.22385705 -29.99863372
153.18820031 -30.16389495
153.03058719 -30.56335377
153.0237659 -30.72014007
153.04784712 -30.90715708
153.02159549 -31.08662933
152.98221805 -31.20879241
152.94397749 -31.43482513
152.78584761 -31.78632822
152.55929813 -32.04574391
152.54534549 -32.24304453
152.5166134 -32.33017099
152.47041467 -32.43910491
152.33119836 -32.55749562
152.24748254 -32.60870696
152.21575321 -32.67810841
152.13648156 -32.67810841
152.13451786 -32.69986419
152.18805464 -32.72167164
152.16428348 -32.75738006
151.95427046 -32.82027028
151.81288374 -32.90109222
151.66839644 -33.09859954
151.60772831 -33.20184905
151.5301103 -33.30096445
151.48380822 -33.34742156
151.46334435 -33.39739267
151.43202844 -33.52162282
151.35751102 -33.54394704
151.29208866 -33.58099904
151.32278446 -33.69928639
151.28836795 -33.83488535
151.28030643 -33.92666269
151.24464969 -33.98505706
151.2016549 -33.96407643
151.16785851 -33.97348154
151.12486372 -34.00531422
151.19121626 -34.01518442
151.23152388 -34.02965382
151.08993045 -34.16246225
150.96032596 -34.29707936
150.92745975 -34.38658294
150.87133915 -34.49913421
150.82183312 -34.74924814
150.7811121 -34.89223683
150.80912072 -34.99388437
150.8045732 -35.0129013
150.77460086 -35.02039438
150.7561007 -35.00716522
150.69739628 -35.04189178
150.68096317 -35.07667002
150.7056645 -35.11971649
150.72220096 -35.1345993
150.7146562 -35.15521819
150.69036828 -35.17769744
150.63445438 -35.17764577
150.56748172 -35.21423268
150.37410851 -35.58413258
150.29214969 -35.6823178
150.19530806 -35.83357472
150.15851444 -35.97062062
150.12885217 -36.1204306
150.09536584 -36.37266326
150.06280969 -36.55037851
149.98818892 -36.72277109
149.96028364 -36.84550262
149.95056848 -37.08032033
149.98632857 -37.25839731
149.96286747 -37.35306854
149.9623507 -37.44386403
149.93268843 -37.52851002
149.80938846 -37.54788869
149.70892948 -37.61698008
149.56537235 -37.72994476
149.48082971 -37.77118255
149.2984119 -37.80218841
148.94391157 -37.78844248
148.26250614 -37.8307138
148.13062788 -37.85603525
147.87679325 -37.93417002
147.63143355 -38.05571299
147.39558231 -38.21911386
146.85680383 -38.66342783
146.43574426 -38.71179697
146.3562659 -38.71179697
146.29260054 -38.69975636
146.21746301 -38.72740325
146.21622277 -38.78274871
146.28557254 -38.84026458
146.33662886 -38.89421478
146.42695926 -38.81959401
146.46664676 -38.84036793
146.48163293 -38.9779306
146.48380334 -39.06505706
146.45662154 -39.11228932
146.39998417 -39.14546559
146.3400395 -39.12386484
146.33208133 -39.07663258
146.25425663 -38.96449472
146.15834517 -38.86574106
146.06997847 -38.83411509
146.01819868 -38.86708465
145.93530969 -38.90175954
145.8655465 -38.7759791
145.79082238 -38.6669935
145.69191369 -38.65562469
145.60633752 -38.65681325
145.5353341 -38.60963266
145.39725467 -38.53532195
145.42422977 -38.477341
145.46278039 -38.41631113
145.54215539 -38.39388356
145.51838423 -38.31140797
145.47580285 -38.24371185
145.36635217 -38.22567677
145.29276493 -38.23756235
145.24894331 -38.29125416
145.19116906 -38.38354827
144.95955529 -38.50075042
144.84731408 -38.43630991
144.71781294 -38.3402951
144.78023807 -38.34732309
144.91139286 -38.3440158
145.02012007 -38.25838795
145.06693892 -38.20485117
145.11995894 -38.09131805
145.04957564 -38.0109612
144.98487674 -37.95225677
144.8913424 -37.89985687
144.53849572 -38.07710703
144.46532189 -38.10258351
144.39555871 -38.13689666
144.51782515 -38.1664039
144.58944868 -38.15761891
144.66520633 -38.20996714
144.54366336 -38.28407114
144.44785526 -38.30375986
144.32868941 -38.34820159
144.10151981 -38.46230316
143.81171838 -38.69877451
143.68666141 -38.76688405
143.53897017 -38.8209376
143.33846561 -38.757789
143.22643111 -38.74311289
143.08256392 -38.64585784
142.84020145 -38.58084889
142.61210168 -38.45165781
142.45583215 -38.3863388
142.34452111 -38.37217946
142.18773482 -38.39946461
141.92470178 -38.28381276
141.72502404 -38.27141041
141.59397261 -38.38778574
141.49175663 -38.37977589
141.42426721 -38.36349782
141.21384077 -38.17198496
141.0109591 -38.07690032
140.62720991 -38.02837615
140.3904285 -37.89665293
140.21214481 -37.64219817
139.87480106 -37.35208668
139.78426395 -37.24583994
139.74230269 -37.14166025
139.73847863 -37.0595464
139.78385054 -36.90260508
139.84658573 -36.74809254
139.85733443 -36.66210296
139.72897017 -36.37137135
139.54872277 -36.09671111
139.46593713 -36.0103598
139.24486535 -35.82737355
139.03774621 -35.68924245
138.98503625 -35.61761891
138.9689132 -35.58077361
139.06689172 -35.59844695
139.11247033 -35.54227467
139.17799605 -35.52305104
139.23060266 -35.59762013
139.28941044 -35.61136606
139.29209761 -35.48589568
139.32506717 -35.42662282
139.30253625 -35.39944101
139.28248579 -35.3753598
139.19277551 -35.34724782
139.09376346 -35.38957081
139.01769575 -35.44326263
138.91527307 -35.48889292
138.87527551 -35.53684865
138.77099247 -35.53834726
138.72965132 -35.55080128
138.52191206 -35.6424236
138.38920698 -35.64474904
138.18436161 -35.61265797
138.25216109 -35.48656748
138.33287967 -35.41174
138.39985233 -35.32575042
138.51116336 -35.02437347
138.48997603 -34.76361419
138.43623254 -34.65623056
138.26435672 -34.44032643
138.18622196 -34.30725962
138.08927697 -34.16985198
138.04132124 -34.24979542
138.01227909 -34.33407969
137.91926151 -34.45603607
137.87409631 -34.72744069
137.6916785 -35.14302256
