# IPBES West_Africa
# Benin
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
0.64298954 10.98305085
0.54914514 10.95540396
0.49271447 10.95499055
0.49069909 10.97819326
0.48413618 10.99196503
0.15927229 11.06960887
-0.06862077 11.1156009
-0.2994594 11.16688976
-0.31255937 11.11888235
-0.34573564 11.08792817
-0.3956034 11.08570608
-0.43032996 11.09327668
-0.45353268 11.05630219
-0.49172156 11.00759715
-0.54523251 10.98367097
-0.59765825 10.9536728
-0.62716549 10.92739533
-0.6485337 10.92677521
-0.70142453 10.98894196
-0.77160112 10.99527233
-0.90291094 10.98470449
-0.96182207 11.00170604
-1.04248898 11.01005178
-1.23260657 10.99723603
-1.53677405 11.022635
-1.58648678 11.00888906
-1.59966427 10.99764944
-1.90062781 10.99467805
-2.23195126 10.99142243
-2.50916948 10.98873526
-2.75168698 10.98635814
-2.75210039 10.99697765
-2.8299251 10.99837291
-2.83855506 10.97746979
-2.90733639 10.72797598
-2.91488115 10.59232534
-2.87839759 10.50793773
-2.83721147 10.45465933
-2.79116777 10.43243846
-2.78662025 10.40189769
-2.82346554 10.36293366
-2.82031328 10.32283275
-2.77711178 10.28159496
-2.76651811 10.23816092
-2.7884806 10.1925823
-2.7832096 10.08307994
-2.75073096 9.90965384
-2.74982663 9.79723176
-2.78052243 9.74583955
-2.76594967 9.65806712
-2.70618588 9.53394033
-2.69585059 9.48133373
-2.71719296 9.45714916
-2.76662147 9.42472219
-2.81674761 9.42583324
-2.87514197 9.50094493
-2.90087684 9.53461213
-2.94813493 9.61073151
-2.98826168 9.68734182
-3.04262529 9.72087983
-3.09582618 9.75211823
-3.16070594 9.84916657
-3.22354448 9.89546865
-3.28969031 9.88223949
-3.38627357 9.90027456
-3.58114539 9.9243041
-3.79064165 9.91719859
-3.87766476 9.89490021
-3.96347348 9.85963105
-4.18116045 9.78175467
-4.26717587 9.74325572
-4.33221066 9.64571646
-4.40621131 9.64801606
-4.48026364 9.67922862
-4.5266174 9.72348949
-4.62583615 9.71356761
-4.72174761 9.7565624
-4.81448096 9.84115672
-4.88271969 9.86893281
-4.96989783 9.93006603
-4.99403073 10.04649303
-5.04932451 10.12832266
-5.09986406 10.24162324
-5.17531165 10.29262788
-5.26228309 10.31968049
-5.38227576 10.31399608
-5.46128903 10.35954886
-5.52355913 10.42600475
-5.50702267 10.4834431
-5.47901404 10.56509186
-5.47565508 10.6439501
-5.4570774 10.77141002
-5.46857541 10.93103852
-5.49048621 11.04237539
-5.42423703 11.08872915
-5.34739417 11.130277
-5.29985185 11.2059313
-5.25024248 11.3757659
-5.2293652 11.52247529
-5.24476478 11.57676138
-5.27029293 11.61985952
-5.2905501 11.68331818
-5.30199643 11.7604711
-5.2881213 11.82790884
-5.23019202 11.89028229
-5.15753496 11.94237214
-5.1059102 11.96753856
-4.9689935 11.99329926
-4.79797034 12.03210826
-4.69934587 12.07618826
-4.62723141 12.12019074
-4.58692379 12.15502066
-4.54604774 12.22646332
-4.4799019 12.28178295
-4.42869056 12.33759349
-4.42155921 12.49308788
-4.42192095 12.58158377
-4.45985145 12.63039216
-4.48062537 12.67222423
-4.2271008 12.79371552
-4.22524044 12.87947256
-4.2606388 12.97533234
-4.31024818 13.05248526
-4.32869666 13.1190445
-4.2586751 13.1973343
-4.19619829 13.25616791
-4.15103309 13.30621654
-4.05119422 13.38243928
-3.94729875 13.40217967
-3.85348019 13.37355093
-3.57577104 13.19420787
-3.52760861 13.18270987
-3.46993771 13.19640412
-3.39671221 13.24371389
-3.30173092 13.28074006
-3.26674598 13.40075857
-3.27018246 13.57746613
-3.24860755 13.65833975
-3.19842973 13.67286083
-3.03869788 13.63909028
-2.99722755 13.63710073
-2.95084795 13.64844371
-2.91710324 13.67947541
-2.9184985 13.73637116
-2.92588823 13.78675568
-2.87395342 13.950725
-2.77884294 14.07371491
-2.58673581 14.22758149
-2.5268945 14.25830313
-2.45723467 14.27411612
-2.11322466 14.16843781
-2.05715573 14.19463776
-1.9730265 14.45653392
-1.87977637 14.48149364
-1.76779354 14.48604116
-1.69505897 14.50846874
-1.65733517 14.52678803
-1.49367591 14.62605846
-1.20495968 14.76152823
-1.04956865 14.81950918
-1.01918291 14.84134247
-0.90797523 14.93740896
-0.76043901 15.04776398
-0.66646542 15.06977814
-0.53655087 15.07786551
-0.45446286 15.05964956
-0.43229367 15.02854035
-0.40542192 15.01252066
-0.23587155 15.05941702
0.00731774 14.98482209
0.21748579 14.91149323


# Cape Verde
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-24.30825233 14.8563028
-24.38610287 14.81821727
-24.44054399 14.83480541
-24.49216875 14.87423452
-24.51710263 14.93123363
-24.49689714 14.98027456
-24.39196815 15.0383072
-24.3294655 15.01949698
-24.29577247 14.92952831
-24.30825233 14.8563028

-23.18214535 15.1367508
-23.20994727 15.13308177
-23.25180518 15.17814362
-23.24247759 15.24054291
-23.2471543 15.25700186
