# IPBES Caribbean
# Antigua and Barb.
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-78.82296099 21.61893911
-79.1892177 21.55284496
-79.27443214 21.56266348
-79.35742449 21.58516857
-79.9102848 21.74260082
-80.13833289 21.82926219
-80.23132463 21.87215363
-80.31067379 21.93341604
-80.39291684 22.03374584
-80.48546933 22.12345612
-80.48482337 22.08717927
-80.49906023 22.06351146
-80.96190019 22.05286612
-81.0356683 22.07358837
-81.08310727 22.09792796
-81.11667111 22.13423066
-81.14142412 22.2069394
-81.18550412 22.2679951
-81.19956011 22.20293448
-81.22242693 22.14293814
-81.28436113 22.10942597
-81.3552612 22.10407746
-81.44109575 22.18378836
-81.81618913 22.20022146
-81.84939124 22.21365733
-81.97261369 22.29088776
-82.07772356 22.38767772
-81.97305294 22.42183584
-81.7570713 22.4667685
-81.7103558 22.49666332
-81.68325151 22.53482636
-81.70270769 22.59187714
-81.7456508 22.63293407
-81.78988583 22.65701529
-81.83882341 22.6724407
-81.90341895 22.67900361
-82.73804501 22.68926138
-82.78638831 22.65835887
-82.86121579 22.59510692
-83.00942379 22.5140266
-83.10714393 22.42987153
-83.14373084 22.38646332
-83.18941281 22.35543163
-83.29211972 22.30321259
-83.37965959 22.22298493
-83.48593218 22.18712149
-83.54406816 22.20895478
-83.60150652 22.20872224
-83.64305437 22.18898184
-83.6866176 22.17993846
-83.90071306 22.17011994
-83.93272661 22.14965607
-83.96331906 22.09208853
-83.99807146 21.98013154
-84.03093767 21.94310537
-84.1383213 21.92899771
-84.24066647 21.89835358
-84.44884498 21.79164175
-84.50258847 21.7761905
-84.49090959 21.85427359
-84.50134823 21.93026378
-84.56002682 21.93302847
-84.62689613 21.92036774
-84.682655 21.89905122
-84.78585283 21.84228465
-84.83825273 21.82791861
-84.88719031 21.8569866
-84.87726844 21.89416779
-84.5327675 22.03116201
-84.49424272 22.04160065
-84.43305783 22.03129121
-84.373139 22.03591625
-84.32637183 22.07433767
-84.38303504 22.25554108
-84.36127926 22.37891857
-84.28136166 22.47420991
-84.12178484 22.61856802
-84.04494198 22.66600698
-83.2578324 22.96759064
-83.17724301 22.98299022
-82.66580136 23.043555
-82.58779578 23.06456147
-82.35054928 23.1539617
-82.10136553 23.19044526
-81.83745399 23.16303091


# Dominica
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-61.2817061 15.24904369
-61.37536964 15.22728791
-61.41572893 15.39983552
-61.48115129 15.52515087
-61.46993751 15.6034665
-61.45812944 15.63310293
-61.32002418 15.58504385
-61.27726193 15.52670116
-61.25106198 15.37317048
-61.2817061 15.24904369


# Dominican Rep.
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-71.76832699 18.03915762
-71.76375363 18.20395376
-71.73724362 18.27082307
-71.76189328 18.34130972
-71.87258419 18.41621471
-71.94038367 18.51261709
-72.00038001 18.59788321
-71.98686662 18.61033723
-71.86648638 18.61416128
-71.82424089 18.64552888
-71.74321225 18.73288788
-71.72706336 18.80321951
-71.73362627 18.85639456
-71.78638791 18.92003408
-71.80711015 18.98700674
-71.74204953 19.04550446
-71.6570418 19.13074474
-71.64531125 19.1635076
-71.64722327 19.19596039
-71.7464937 19.28585155
-71.75315996 19.32445384
-71.70696123 19.42196727
-71.71145708 19.48658865
-71.75739743 19.68817841
-71.77923072 19.71815074
-71.73509905 19.73512645
-71.70608273 19.79517447
-71.66740292 19.8486079
-71.61595903 19.87744335
-71.55774553 19.89537507
-71.4417061 19.8939798
-71.28135413 19.84736766
-71.23595639 19.84816865
-71.08193478 19.89049164
-70.9541648 19.91397858
-70.83386207 19.88723603
-70.78523454 19.85085582
-70.68596412 19.7932366
-70.63619971 19.77564077
-70.47936174 19.77695852
-70.43641863 19.77124828
-70.30474708 19.67606029
-70.19384945 19.63805227
-70.12946062 19.63614025
-70.01404131 19.67293386
-69.95680966 19.67184866
-69.89120643 19.58976065
-69.878339 19.47328197
-69.82343279 19.36713858
-69.73940691 19.29923574
-69.32496192 19.3277353
-69.23248695 19.27184724
-69.26424211 19.22570018
-69.32276567 19.20105052
-69.51975623 19.21200593
-69.60595252 19.20647655
-69.62326413 19.16051036
-69.6236517 19.11782563
-69.50836158 19.10761953
-69.39526771 19.08607046
-69.28021013 19.0518865
-69.16303382 19.02845124
-69.03128476 19.01320669
-68.90137021 18.98845368
-68.6847426 18.90478954
-68.44542904 18.71446524
-68.38140194 18.67116039
-68.33915646 18.61149995
-68.35928443 18.53809357
-68.44483476 18.41773916
-68.4932039 18.37898184
-68.56376807 18.35546906
-68.61218889 18.3062731
-68.65882687 18.22204051
-68.68742978 18.214935
-68.72096778 18.21839733
-68.77848365 18.26612051
-68.81951474 18.33932018
-68.93495989 18.40802399
-69.07226417 18.399239
-69.27452572 18.43985668
-69.39699887 18.42014212
-69.51944617 18.41567211
-69.64470985 18.43636852
-69.77067115 18.44355154
-69.89639991 18.41771332
-70.01830461 18.37360749
-70.06331479 18.34565054
-70.14160458 18.27710175
-70.18312659 18.25175446
-70.47993018 18.21726044
-70.565403 18.26756745
-70.64467465 18.33621959
-70.75885373 18.34559886
-70.92432166 18.29247549
-71.02785539 18.27320018
-71.06997169 18.25033336
-71.08224484 18.22436595
-71.08263241 18.12835114
-71.106016 18.07003429
-71.2672723 17.84960847
-71.35830034 17.69411408
-71.39571408 17.64610668
-71.43894141 17.63561636
-71.51836809 17.72501659
-71.56906267 17.75736603
-71.63172034 17.77361827
-71.65830787 17.82113475
-71.6572485 17.88867585
-71.67375912 17.95409821
-71.71246477 18.00546459
-71.76832699 18.03915762


# Grenada
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-61.71550391 12.01265209
-61.78219235 12.00844046
-61.75573402 12.04546662
-61.74989458 12.10843435
-61.71498715 12.18517386
-61.66046851 12.23703115
-61.60703508 12.22328522
-61.62713721 12.05394156
-61.71550391 12.01265209


# Haiti
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-72.80456865 18.77766551
-72.82221615 18.70712718
-73.07798865 18.79089468
-73.28523699 18.89672801
-73.27642615 18.95406302
-73.17059282 18.96729218
-73.06915198 18.93202302
-72.91923865 18.86145885
-72.80456865 18.77766551

-71.95431047 19.72166474
-71.83473121 19.69673086
-71.77923072 19.71815074
-71.75739743 19.68817841
-71.71145708 19.48658865
-71.70696123 19.42196727
-71.75315996 19.32445384
