# IPBES Western_Asia
# Bahrain
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
41.22077111 18.76523733
41.19079878 18.87117402
41.14418664 18.9890738
41.11607466 19.08219473
40.91329634 19.49012849
40.84787398 19.55529247
40.79154667 19.64637218
40.77707726 19.71691051
40.75919722 19.75548697
40.61595015 19.82235627
40.48221154 19.99345694
40.08068566 20.26589509
39.88410851 20.29297354
39.72835575 20.39033194
39.61363407 20.51766267
39.49126428 20.73702912
39.27608361 20.97396556
39.09356245 21.3103533
39.15071659 21.43274893
39.14709924 21.51899689
39.09097863 21.66394929
39.02979374 21.77598379
38.98793583 21.88173961
39.02121545 22.03346162
39.0340312 22.20334789
39.06989465 22.29367829
39.09593957 22.39279369
39.06203983 22.59216136
39.0013717 22.69897655
39.00746952 22.77008332
38.93873986 22.80475821
38.88292931 22.88201447
38.94111698 22.8818336
38.8355937 22.98903636
38.79683638 23.04856761
38.75704553 23.19429515
38.70609256 23.30550283
38.54227827 23.55789053
38.46414351 23.7118863
38.28885705 23.91099559
38.09868778 24.05801504
37.97786828 24.12457429
37.91968062 24.18539745
37.82097863 24.18751618
37.7133883 24.27443594
37.63814741 24.27774323
37.54306278 24.29164419
37.43092492 24.45902416
37.33852746 24.61581045
37.18091434 24.82003571
37.22039514 24.87336579
37.26628381 24.96005301
37.24344282 25.07345694
37.21832808 25.15066153
37.14887495 25.29111807
36.92067183 25.64117422
36.86010705 25.69248892
36.76274865 25.75132254
36.70259728 25.90286367
36.67520877 26.03887604
36.51873254 26.10486685
36.24960168 26.59475943
36.09374556 26.76583426
36.0320439 26.88099518
35.85169315 27.07046682
35.76301639 27.25880158
35.58132206 27.43248607
35.42381229 27.73378551
35.18051965 28.03487824
35.07830366 28.08701976
34.82756961 28.10859467
34.72204634 28.13066051
34.624998 28.06451468
34.61621301 28.14833385
34.68328902 28.2641149
34.77992394 28.50730419
34.79914758 28.72052115
34.95081791 29.3535316
35.16377648 29.32094961
35.33916629 29.29407787
35.59527469 29.25485546
35.86037479 29.21423778
36.01545576 29.19046662
36.06847578 29.20054352
36.28277795 29.35536612
36.47609948 29.49512503
36.59185469 29.6660965
36.70388919 29.83166779
36.75525557 29.86603262
36.92707971 29.89706432
37.19946618 29.94631196
37.46921716 29.99506867
37.49071455 30.01170848
37.55360477 30.14456859
37.63354821 30.31329214
37.64992964 30.33093964
37.66972171 30.34812206
37.86293989 30.44263825
37.98009037 30.49999909
37.81302046 30.66929108
37.6555107 30.82894542
37.47903568 31.00777171
37.32943241 31.14683299
37.10526004 31.35516653
36.95855065 31.4915148
37.2156409 31.55611034
37.49335005 31.62587352
37.77384973 31.69633434
38.11145186 31.7811612
38.37551843 31.84746206
38.76965458 31.94647411
38.96235599 31.99489492
38.99708255 32.0074523
39.14544559 32.12449942
39.3686361 32.09173656
39.70406782 32.04251476
40.02782067 31.99499828
40.36929854 31.93898102
40.47885257 31.89335073
40.80834151 31.72545401
41.02248864 31.61636506
41.27244754 31.48903433
41.58508996 31.32971589
41.79970218 31.22036856
42.0744141 31.0803771
42.28856123 30.92038687
42.55981083 30.71776358
42.85772546 30.49519318
43.10308516 30.32220633
43.44079064 30.08400381
43.7737419 29.84921194
44.09966515 29.61932933
44.36068281 29.43525788
44.69084354 29.2023522
44.71647505 29.19361888


# United Arab Emirates
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
53.92779911 24.17720673
53.92810917 24.14338451
53.82640995 24.15309968
53.79912479 24.13552969
53.71582238 24.14529654
53.63448368 24.16979116
53.68967411 24.21077058
53.833748 24.25893301
53.89369266 24.21516307
53.92779911 24.17720673

56.21055383 25.21326752
56.2402161 25.20882335
56.28181563 25.23554007
56.28775842 25.27858653
56.27731978 25.30085908
56.23427331 25.30383047
56.21649662 25.26670095
56.21055383 25.21326752

52.61687137 24.28859528
52.60002486 24.28130891
52.58224816 24.33523326
52.58359175 24.352364
52.62937707 24.37675528
52.6575924 24.3326236
52.61687137 24.28859528

53.33217655 24.25857128
53.25827925 24.25293854
53.19089318 24.29092072
53.33248661 24.3416153
53.37093387 24.36445629
53.41237837 24.41101675
53.44534793 24.37117422
53.40896773 24.30792227
53.38261275 24.28084382
53.33217655 24.25857128

54.46544071 24.44277192
54.45660404 24.42334158
54.42838871 24.42509858
54.35774702 24.44277192
54.33475101 24.47103893
54.37893436 24.50457693
54.3983647 24.50635977
54.42658003 24.47103893
54.46544071 24.44277192

56.18363041 25.64492076
56.24951786 25.62538707
56.27850834 25.62773835
56.297887 25.65068268
56.36351607 25.56939566
56.37281782 25.01831818
56.38795902 24.97917329
56.35297407 24.97330801
56.31359663 24.93129507
56.26786299 24.86672537
56.20471439 24.83331656
56.15443322 24.79551525
56.10652917 24.7486964
56.06389611 24.73874868
56.00839562 24.79822826
55.97036177 24.85894807
55.9797152 24.87207388
56.00632857 24.8764147
56.01666385 24.90773062
56.00064416 24.95320588
55.96307539 24.9702591
55.91584313 24.97178356
55.87067793 24.95142304
55.82287723 24.91127045
55.79569543 24.86809479
55.79156131 24.78130423
55.80417036 24.68360993
55.80396366 24.63624848
55.777557 24.57733735
55.76820357 24.49059846
55.78680708 24.42352245
55.80401533 24.38355073
55.80566898 24.34978018
55.76086551 24.24268077
55.79972619 24.22263032
55.92860721 24.21513723
55.96633101 24.1426352
55.99216922 24.09294831
55.98514123 24.06338939
55.89408736 24.04142691
55.77915897 24.01711315
55.69658003 24.02414114
55.54785526 23.99135244
55.46848026 23.94109711
55.49178633 23.90967784
55.51932987 23.88549327
55.53162886 23.81906322
55.50852949 23.7245987
55.46630985 23.63292471
55.41380659 23.51877147
55.35324182 23.38746166
55.27024946 23.18995433
55.19986616 23.03477001
55.19221805 22.92294221
55.1940784 22.84997508
55.18586185 22.70409252
55.11940596 22.62394237
55.10431644 22.6214619
55.02504479 22.63112539
54.99822473 22.63438101
54.92251875 22.64363109
54.80485152 22.65802298
54.65225101 22.67665233
54.47164188 22.69871817
54.27010379 22.72334199
54.05461307 22.74967113
53.83209435 22.77682709
53.60957564 22.80398306
53.39403324 22.8303122
53.19244348 22.85493602
53.01188602 22.87700186
52.85928552 22.89563121
52.74161828 22.9100231
52.66591231 22.91927318
52.63914391 22.92252879
52.55506636 22.9328124
52.5095911 22.98694347
52.45460737 23.05244335
52.39957197 23.11796906
52.34453657 23.18346894
52.28955285 23.24896882
52.23451745 23.3144687
52.17948205 23.37996857
52.12449833 23.44546845
52.06946293 23.51096833
52.01442752 23.57646821
51.9594438 23.64196809
51.9044084 23.7074938
51.849373 23.77299368
51.79438928 23.83849356
51.73935388 23.90401927
51.68431848 23.96951915
51.62933475 24.03501903
51.59254113 24.07884064
51.57218062 24.12834667
51.56835656 24.25792532
51.56835656 24.28619233
51.60546024 24.3384372
51.62313358 24.3010493
51.66457808 24.25043224
51.73475467 24.26280874
51.76762088 24.25438548
51.7917021 24.07475821
51.84317183 24.01088614
51.90601037 23.98535798
52.11860721 23.97109528
52.25089888 23.99522818
52.51145145 24.112482
52.64829064 24.15464997
53.02635542 24.14731192
53.32959273 24.09842601
53.80181196 24.06948721
53.8933826 24.07703197
54.14794071 24.17118643
54.30431359 24.25428213
54.39702111 24.27815664
54.45841271 24.35825511
54.49882368 24.46271902
54.53468713 24.53095775
54.58047245 24.5635139
54.62408736 24.62128815
54.65902062 24.71554597
54.74676721 24.8104239
55.09816695 25.04162425
55.30352909 25.23680614
55.32171919 25.29979971
55.43344364 25.39447093
55.52284387 25.49813386
55.94121626 25.79398143
56.02524214 25.91598949
56.07464481 26.052777
56.08043257 26.0626472
56.11650272 26.06817658
56.16745568 26.04745433
56.17257165 25.94518667
56.15407149 25.84850007
56.15195275 25.74607738
56.1446147 25.69052521
56.18363041 25.64492076


# Yemen
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
53.76315799 12.63680004
53.82485965 12.6248111
53.91849735 12.65943431
54.1874215 12.66403351
54.51112267 12.55277416
54.45004113 12.52342194
54.41376428 12.48332103
54.27134403 12.44663076
54.12944055 12.36064118
53.71881961 12.31898998
53.59831017 12.34229605
53.49940148 12.42534007
53.3158468 12.53313711
53.38850386 12.60186677
53.40390344 12.63333771
53.43098189 12.66356843
53.53495487 12.71576162
53.63851444 12.70739004
53.76315799 12.63680004

42.75587121 13.7042801
42.68972538 13.67363597
42.73499393 13.7529593
42.78129601 13.76928905
42.79411177 13.76613679
42.75587121 13.7042801

42.78739383 13.97149893
42.77416467 13.95025991
42.75607792 13.95485912
42.6940662 14.00793081
42.76207238 14.06746206
42.79834924 14.01227163
42.78739383 13.97149893

42.59019657 15.30343313
42.55867394 15.28118643
42.54906213 15.32004711
42.5697327 15.4073286
42.60239221 15.43252086
42.62450972 15.36795116
42.61045373 15.33229442
42.59019657 15.30343313

52.90367557 17.04386953
52.9643437 16.91204295
53.02501183 16.78021638
53.08567997 16.6483898
52.58142134 16.47036449
52.4484062 16.39124787
52.32779341 16.29357941
52.2372563 16.17136465
52.17400435 15.95685578
52.22206343 15.76058869
52.2175159 15.6555305
52.08729129 15.58592235
51.96585168 15.53569286
51.83076948 15.45926341
51.74860396 15.44014313
51.68152795 15.37911327
51.60370324 15.33684195
51.3224801 15.22625438
51.01510868 15.14078156
50.52707645 15.03820384
50.33856083 14.92720287
50.16689172 14.85103181
49.90633915 14.82813915
49.54863488 14.72240917
49.34988732 14.63781485
49.10287398 14.50004548
49.04809696 14.45643057
49.00468876 14.35504141
48.9287244 14.26750153
48.77999963 14.12389273
48.66837853 14.05015046
48.59375777 14.04622305
48.44906376 14.00591543
48.27780806 13.9976472
47.98997033 14.0480834
47.91596968 14.01284007
47.85509484 13.95692617
47.63340295 13.85843089
47.40768029 13.66164704
47.24262577 13.60935049
46.97566532 13.54744212
46.78890669 13.46558666
46.66343631 13.43272045
46.50199914 13.41556387
46.20310265 13.4238321
45.9197091 13.39427318
45.65729618 13.33872101
45.53399621 13.2335078
45.39353967 13.06705801
45.1638896 12.99827668
45.1097327 12.9385904
45.03862593 12.81588471
44.88990116 12.78415538
44.75523237 12.76376903
44.61777306 12.8172283
44.35846073 12.66914948
44.26037886 12.64460318
44.11155073 12.63866039
44.00582075 12.60765453
43.92975305 12.6164912
43.83539188 12.67442048
43.63437056 12.74449372
43.48760949 12.69881175
43.4753105 12.83900991
43.2319145 13.26709748
43.28255741 13.63986542
43.28245405 13.69254955
43.23408491 13.85894766
43.08908084 14.01097972
43.09331831 14.20368114
43.04484582 14.34155386
43.0062952 14.48309561
43.01869754 14.5208194
43.02107466 14.55487417
42.94697066 14.77315542
42.92216597 14.81739045
42.91296756 14.86309825
42.93725549 14.89805736
42.93642866 14.93857168
42.89705122 15.00554434
42.85560672 15.13297842
42.65778934 15.23281729
42.69789025 15.32629995
42.73644087 15.2935371
42.78842736 15.26570934
42.79907271 15.32624828
42.79989953 15.37162018
42.71721724 15.654652
42.83969038 16.03204499
42.79933109 16.37179169
42.9863481 16.50907014
43.03358036 16.55038544
43.06071048 16.58663646
43.10479048 16.66415111
43.1650452 16.68942088
43.18638757 16.77101797
43.18447554 16.81181651
43.14561486 16.84677562
43.11646935 16.94198945
43.12618452 17.06244721
43.13589969 17.11296092
43.15595015 17.20504833
43.22137251 17.23923229
43.23692712 17.26643993
43.18638757 17.32473094
43.19093509 17.35937999
