# IPBES Europe_and_Central_Asia
# Albania
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
17.53735884 42.96223583
17.32992964 43.11491385
17.12942508 43.21110952
16.90308231 43.39241629
16.60025842 43.46406566
16.3939661 43.54333731
16.26890913 43.53124502
16.13103641 43.50628531
16.045977 43.50551016
15.98551558 43.51977285
15.94262414 43.56896882
15.94913537 43.60700267
15.94148726 43.65663789
15.82056441 43.73593537
15.65561323 43.81127961
15.49944706 43.9087672
15.18587446 44.17213614
15.12293257 44.25678213
15.18463423 44.27290518
15.23134973 44.27145824
15.28426639 44.28882152
15.36973921 44.28926077
15.47102502 44.271975
15.38131473 44.32827648
15.26979699 44.38349274
14.98133915 44.60293671
14.89524621 44.7065738
14.88522098 44.81824657
14.90651167 44.97136384
14.85462853 45.08102123
14.63200646 45.22289887
14.55046105 45.29772635
14.38613 45.3421164
14.31264611 45.33780142
14.26851444 45.28253347
14.2363717 45.15967276
14.09064416 44.99761546
14.04196496 44.92718049
13.9657939 44.83566153
13.89975142 44.829357
13.86078739 44.83741852
13.74244836 44.99151765
13.62927697 45.10817719
13.61346398 45.16344514
13.6033354 45.23139964
13.51713911 45.4817978
13.5779106 45.51688609
13.61522098 45.47675935
13.87866743 45.4283902
13.93561486 45.44978425
13.97013472 45.48259878
13.97034142 45.50334687
13.99282067 45.50944469
14.08557987 45.47784455
14.16123417 45.48513093
14.28298384 45.48662954
14.3699036 45.4814619
14.42736779 45.50574982
14.5051925 45.59520173
14.53402795 45.64527619
14.56885786 45.65721345
14.5918022 45.65127066
14.60854536 45.61008454
14.6494731 45.57148225
14.73360233 45.50848867
14.7930819 45.47820629
14.84708377 45.46735423
14.90000044 45.49267569
14.95457075 45.49991039
15.11047855 45.45079194
15.24209842 45.44141267
15.33945682 45.46704418
15.32669274 45.5022875
15.29119103 45.54153575
15.28354292 45.57967296
15.29010583 45.61266836
15.35697513 45.6454829
15.35371952 45.65992646
15.27294925 45.71772655
15.27703169 45.73260936
15.45407515 45.79761831
15.6247624 45.83402436
15.65220259 45.86216218
15.66806725 45.90445934
15.67561201 45.98370515
15.6662069 46.04850739
15.59690881 46.1092272
15.59256799 46.13997468
15.60900109 46.17193655
15.63597619 46.20072032
15.70424076 46.21325186
15.78428755 46.23397411
15.84759118 46.25787446
15.93332238 46.27764069
16.00070845 46.30539094
16.06649255 46.37133006
16.10643843 46.38220795
16.22741296 46.37282868
16.25330285 46.38910676
16.23676639 46.48382966
16.25841882 46.50788504
16.3012069 46.52139842
16.32120568 46.53462759
16.42765913 46.52439566
16.51618086 46.49990103
16.56997603 46.48499238
16.74805301 46.41641775


# Cyprus
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
32.71271162 35.17105764
32.72020471 35.14537446
32.78407678 35.1157897
32.86944624 35.08938304
32.91957238 35.08783275
32.98592492 35.11640982
33.07749556 35.14617544
33.190977 35.1731247
33.24833784 35.15692414
33.32554243 35.15361685
33.38383345 35.1627119
33.42424442 35.14093028
33.45592207 35.10142365
33.46382857 35.00494375
33.4758175 35.00034455
33.52568526 35.03868846
33.61441369 35.02274628
33.67539188 35.01786286
33.7257764 35.03731904
33.75693729 35.03972199
33.79228397 35.04819693
33.83197147 35.06716218
33.86643965 35.09359467
33.90328495 35.08545563
33.96571008 35.05677521
34.0044674 35.06525015
34.02358768 35.04556143
34.05014937 34.98835562
33.93656457 34.97145742
33.82246301 34.96590221
33.75900435 34.9732661
33.69936974 34.96988129
33.51447147 34.80645458
33.41494266 34.75087657
33.29660363 34.71772614
33.17609419 34.69803742
33.11552941 34.69555695
33.06230269 34.67478303
33.02488895 34.6369042
33.02395877 34.60000723
33.00793908 34.56956981
32.94179325 34.57587434
32.91419803 34.6354831
32.86717248 34.66114045
32.75007368 34.64780793
32.6930229 34.64938406
32.50554081 34.70625397
32.44900679 34.72945669
32.41376346 34.77803254
32.31723189 34.95329316
32.30100549 35.08297517
32.39092248 35.0497989
